UUID,a1,a2,a3,a4,a5,a6,pub_type,name
DC867500,Clarke,Kornberg,Wearing,,,,2,A%20Polity%20on%20the%20Edge:%20Canada%20and%20the%20Politics%20of%20Fragmentation
B704CB37,Anderson,,,,,,2,A%20Recognition%20of%20Being:%20Reconstructing%20Native%20Womanhood
2536AD69,ONeill,,,,,,1,A%20Simple%20Difference%20of%20Opinion?%20Religious%20Beliefs%20and%20Gender%20Gaps%20in%20Public%20Opinion%20in%20Canada
F573B94A,Whitaker,,,,,,2,A%20Sovereign%20Idea:%20Essays%20on%20Canada%20as%20a%20Democratic%20Community
E6D6AEF4,Watkins,,,,,,1,A%20Staple%20Theory%20of%20Economic%20Growth
6C313509,Watkins,,,,,,1,A%20Staple%20Theory%20of%20Economic%20Growth
205B9451,Watkins,,,,,,1,A%20Staple%20Theory%20of%20Economic%20Growth
9D8FF64D,Hart,,,,,,2,A%20Trading%20Nation:%20Canadian%20Trade%20Policy%20from%20Colonialism%20to%20Globalization
4CA50315,Vickers,,,,,,1,A%20Two-Way%20Street:%20Federalism%20and%20Womens%20Politics%20in%20Canada%20and%20the%20United%20States
9A6A0F9D,Smith,,,,,,4,Abolishing%20the%20Senate:%20The%20NDPs%20Bad%20Idea.
EFCC9644,Asch,,,,,,2,Aboriginal%20and%20Treaty%20Rights%20in%20Canada.
E409B42E,White,Beavon,Maxim,Cooke,Kerr,MacCon,2,Aboriginal%20Conditions:%20Research%20as%20a%20Foundation%20for%20Public%20Policy
538129B5,Schouls,,,,,,1,Aboriginal%20People%20and%20Electoral%20Reform%20in%20Canada
2BF92C35,Tennant,,,,,,2,Aboriginal%20Peoples%20and%20Politics
BBA0C5F8,Turpel,,,,,,1,Aboriginal%20Peoples%20and%20the%20Canadian%20Charter:%20Interpretive%20Monopolies%2C%20Cultural%20Differences
C603DC79,Turpel,,,,,,3,Aboriginal%20Peoples%20and%20the%20Canadian%20Charter:%20Interpretive%20Monopolies%2C%20Cultural%20Differences
DE57C12D,Papillon,,,,,,3,Aboriginal%20Peoples%20in%20Quebec
68BE8E60,Chartier,,,,,,3,Aboriginal%20Rights%20and%20Land%20Issues:%20The%20Metis%20Perspective
288C9F24,Belanger,,,,,,2,Aboriginal%20Self-Government%20in%20Canada:%20Current%20Trends%20and%20Issues
E8A4896A,Native%20Womens%20Association%20of%20Canada,,,,,,1,Aboriginal%20Women%20and%20the%20Constitutional%20Debates:%20Continuing%20Discrimination
BB977CBD,Cole,,,,,,1,Aboriginalizing%20Methodology:%20Considering%20the%20Canoe
FE18DCD1,Prince,,,,,,3,Absent%20Citizens:%20Disability%20Politics%20and%20Policy%20in%20Canada
2D728367,Clarke,Jenson,Leduc,Pammett,,,2,Absent%20Mandate:%20Canadian%20Electoral%20Politics%20in%20an%20Era%20of%20Restructuring
E7A9E0A3,Clarke,Jenson,Leduc,Pammett,,,2,Absent%20Mandate:%20Canadian%20Electoral%20Politics%20in%20an%20Era%20of%20Restructuring
3433C2F4,Clarke,Jenson,Leduc,Pammett,,,2,Absent%20Mandate:%20Canadian%20Electoral%20Politics%20in%20an%20Era%20of%20Restructuring
0E8AC5A7,Clarke,Jenson,Leduc,Pammett,,,3,Absent%20Mandate:%20Canadian%20Electoral%20Politics%20in%20an%20Era%20of%20Restructuring
CD024CE3,Tuohy,,,,,,2,Accidental%20logics:%20The%20dynamics%20of%20change%20in%20the%20health%20care%20arena%20in%20the%20United
States,%20Britain,"%20and%20Canada""",,,,,,
5EE4FB87,Blais,,,,,,1,Accounting%20for%20the%20Electoral%20Success%20of%20the%20Liberal%20Party%20in%20Canada
C5471345,Blais,,,,,,1,Accounting%20for%20the%20Electoral%20Success%20of%20the%20Liberal%20Party%20in%20Canada
7DF4DE13,Blais,,,,,,1,Accounting%20for%20the%20Electoral%20Success%20of%20the%20Liberal%20Party%20in%20Canada
1AD16EAD,Blais,,,,,,1,Accounting%20for%20the%20Electoral%20Success%20of%20the%20Liberal%20Party%20in%20Canada
ACAA6163,Blais,,,,,,1,Accounting%20for%20the%20Electoral%20Success%20of%20the%20Liberal%20Party%20in%20Canada
69A73A77,Blais,,,,,,1,Accounting%20for%20the%20Electoral%20Success%20of%20the%20Liberal%20Party%20in%20Canada
90F7E700,Smith,,,,,,2,Across%20the%20Aisle:%20Opposition%20in%20Canadian%20Politics
7E3226FA,Shragge,,,,,,2,Activism%20and%20social%20change:%20Lessons%20for%20community%20and%20local%20organizing
801BB1A8,Stone,,,,,,1,Administrative%20Accountability%20in%20the%20Westminster%20Democracies
24CF25BC,Young,Everitt,,,,,2,Advocacy%20Groups
6F42FB02,Young,Everitt,,,,,2,Advocacy%20Groups
7B308775,Young,Everitt,,,,,2,Advocacy%20Groups
6190C193,Young,Everitt,,,,,2,Advocacy%20Groups
3E083033,Young,Everitt,,,,,2,Advocacy%20Groups
2208DB9A,Young,Everitt,,,,,2,Advocacy%20Groups
A9C169C1,Loewen,,,,,,1,Affinity%2C%20Antipathy%2C%20and%20aPolitical%20Participation:%20How%20Our%20Concern%20for%20Others%20Makes%20Us%20Vote
B88725C3,Baumgartner,Jones,,,,,1,Agenda%20Dynamics%20and%20Policy%20Subsystems
81709648,Soroka,,,,,,2,Agenda%20Setting%20Dynamics%20in%20Canada
64E6849F,Soroka,,,,,,2,Agenda%20Setting%20Dynamics%20in%20Canada
8E695320,Soroka,,,,,,2,Agenda%20Setting%20Dynamics%20in%20Canada
C51E1DA3,Soroka,,,,,,2,Agenda%20Setting%20Dynamics%20in%20Canada
00D9C688,Soroka,,,,,,2,Agenda%20Setting%20Dynamics%20in%20Canada
7D55DE25,Soroka,,,,,,2,Agenda%20Setting%20Dynamics%20in%20Canada
CFD27190,Soroka,,,,,,2,Agenda%20Setting%20Dynamics%20in%20Canada
F28AE6FE,Kingdon,,,,,,3,Agendas%2C%20Alternatives%2C%20and%20Public%20Policies
FE1EA882,Godbout,,,,,,2,Agir%20maintenant%20pour%20le%20Québec%20de%20demain:%20des%20réflexions%20pour%20passer%20des%20manifestes%20aux%20actes
6D450F0A,Lipset,,,,,,2,Agrarian%20Socialism%20Revised
FE2ED9EE,Lipset,,,,,,2,Agrarian%20Socialism:%20The%20Cooperative%20Commonwealth%20Federation%20in%20%20Saskatchewan:%20A%20study%20in%20Political%20Sociology
8AEF3BC3,Lipset,,,,,,2,Agrarian%20Socialism:%20The%20Cooperative%20Commonwealth%20Federation%20in%20%20Saskatchewan:%20A%20study%20in%20Political%20Sociology
63888DCC,Lipset,,,,,,2,Agrarian%20Socialism:%20The%20Cooperative%20Commonwealth%20Federation%20in%20%20Saskatchewan:%20A%20study%20in%20Political%20Sociology
BAFF6E8B,Lipset,,,,,,2,Agrarian%20Socialism:%20The%20Cooperative%20Commonwealth%20Federation%20in%20Saskatchewan
F6795D7C,Johnston,,,,,,1,Alignment%2C%20Realignment%2C%20and%20Dealignment%20in%20Canada:%20The%20View%20From%20Above
69DC35CE,Johnston,,,,,,1,Alignment%2C%20Realignment%2C%20and%20Dealignment%20in%20Canada:%20The%20View%20From%20Above
14FB2C66,Johnston,,,,,,1,Alignment%2C%20Realignment%2C%20and%20Dealignment%20in%20Canada:%20The%20View%20From%20Above
70DFCF53,Johnston,,,,,,1,Alignment%2C%20Realignment%2C%20and%20Dealignment%20in%20Canada:%20The%20View%20From%20Above
89EDFC46,Jenson,,,,,,1,All%20the%20Worlds%20a%20Stage:%20Ideas%2C%20Spaces%2C%20and%20Times%20in%20Canadian%20Political%20Economy
FFA13273,Laforest,,,,,,3,Allaire%2C%20Belaner-Campeau%2C%20and%20Proposals%20for%20Renewed%20Federalism
8A684D06,Albo,Gindin,Panitch,,,,2,Alternative%20Federal%20Budget
CB7D805B,Cairns,,,,,,1,Alternative%20Styles%20in%20the%20Study%20of%20Canadian%20Politics
19E95DB1,Cairns,,,,,,1,Alternative%20Styles%20in%20the%20Study%20of%20Canadian%20Politics
3AC02145,Cairns,,,,,,1,Alternative%20Styles%20in%20the%20Study%20of%20Canadian%20Politics
F370B066,Cairns,,,,,,1,Alternative%20Styles%20in%20the%20Study%20of%20Canadian%20Politics
C915C0F7,Marland,,,,,,3,Amateurs%20versus%20Professionals:%20The%201993%20and%202006%20Canadian%20Federal%20Elections
A7964FC1,Cuff,Granatstein,,,,,2,American%20Dollars%2C%20Canadian%20Prosperity:%20Canadian-American%20Economic%20Relations%201945-1950
EDC84C3D,Panitch,Gindin,,,,,1,American%20Imperialism%20and%20EuroCapitalism:%20The%20Making%20of%20Neoliberal%20Globalization
716F6E3A,Munro,,,,,,2,American%20Influences%20on%20Canadian%20Government
93A55808,Redekop,,,,,,1,An%20Assessment%20of%20the%20Citizens%20Assembly%20on%20Electoral%20Reform
6D3C1D65,Redekop,,,,,,1,An%20Assessment%20of%20the%20Citizens%20Assembly%20on%20Electoral%20Reform
81C382CA,Cairns,,,,,,1,An%20Election%20to%20be%20Remembered:%20Canada%201993
5461200B,Bow,Lennox,,,,,2,An%20Independent%20Foreign%20Policy%20for%20Canada?:%20Challenges%20and%20Choices%20for%20the%20Future
31DA98FD,Levesque,,,,,,2,An%20Option%20for%20Quebec
6B081B67,Smiley,,,,,,3,An%20Outsiders%20Observations%20of%20Federal—Provincial%20Relations%20Among%20Consenting%20Adults
C74E7BBC,Lindquist,White,,,,,2,Analyzing%20Canadian%20Cabinets:%20Past%2C%20Present%2C%20and%20Future
D0E9E06A,Blais,Gidengil,Nadeau,Nevitte,,,2,Anatomy%20of%20a%20Liberal%20Victory:%20Making%20Sense%20of%20the%202000%20Canadian%20Election
8A1BD2AB,Blais,Gidengil,Nadeau,Nevitte,,,2,Anatomy%20of%20a%20Liberal%20Victory:%20Making%20Sense%20of%20the%202000%20Canadian%20Election
D1C0413A,Blais,Gidengil,Nadeau,Nevitte,,,2,Anatomy%20of%20a%20Liberal%20Victory:%20Making%20Sense%20of%20the%202000%20Canadian%20Election
E30DE3B6,Blais,Gidengil,Nadeau,,,,3,Anatomy%20of%20a%20Liberal%20Victory:%20Making%20Sense%20of%20the%202000%20Canadian%20Election
1F1FC97A,Young,,,,,,2,Anatomy%20of%20a%20Party:%20The%20National%20CCF%2C%201932-1961
8F395018,Banting,Simeon,,,,,2,And%20No%20One%20Cheered:%20Federalism%2C%20Democracy%20&%20The%20Constitution%20Act
54669FAE,Banting,Simeon,,,,,2,And%20No%20One%20Cheered:%20Federalism%2C%20Democracy%20&%20The%20Constitution%20Act
9696B386,Banting,Simeon,,,,,2,And%20No%20One%20Cheered:%20Federalism%2C%20Democracy%20&%20The%20Constitution%20Act
8ED28CC8,Banting,Simeon,,,,,2,And%20No%20One%20Cheered:%20Federalism%2C%20Democracy%20&%20The%20Constitution%20Act
A2856C6E,McNally,,,,,,2,Another%20World%20is%20Possible
890E8A43,Gindin,,,,,,2,Anti-capitalism%20and%20social%20justice
8D8C67FD,Belanger,,,,,,1,Antipartyism%20and%20Third-Party%20Vote%20Choice:%20A%20Comparison%20of%20Canada%2C%20Britain%2C%20and%20Australia
4C2831C1,Hockin,,,,,,1,Apex%20of%20Power
109D525A,Malleson,Russell,,,,,2,Appointing%20Judges%20in%20an%20Age%20of%20Judicial%20Power
867C8ECE,Montpetit,,,,,,3,Are%20Interest%20Groups%20Useful%20or%20Harmful?%20
9008523C,Montpetit,,,,,,3,Are%20Interest%20Groups%20Useful%20or%20Harmful?%20Take%20Two
08F05DF6,Montpetit,,,,,,3,Are%20Interest%20Groups%20Useful%20or%20Harmful?%20Take%20Two
456EDC3A,Montpetit,,,,,,2,Are%20Interest%20groups%20Useful%20or%20Harmful?%20Take%20Two
8C55B075,Magnusson,,,,,,1,Are%20municipalities%20creatures%20of%20the%20provinces?
7B6D528E,Magnusson,,,,,,1,Are%20municipalities%20creatures%20of%20the%20provinces?
BEFCF486,Cairns,,,,,,1,Are%20we%20on%20the%20right%20track?%20
B616E656,Blais,Heroux-Legault,Stephenson,Cross,Gidengil,,1,Assessing%20the%20psychological%20and%20mechanical%20impact%20of%20electoral%20rules:%20A%20quasi-experiment.%20
DBAD5833,Welsh,,,,,,2,At%20Home%20in%20the%20World
E870B2AB,Finbow,,,,,,3,Atlantic%20Canada%20in%20the%20Twenty-First%20Century:%20Prospects%20for%20Regional%20Integration
58E8F9AE,Finbow,,,,,,1,Atlantic%20Canada%20in%20the%20Twenty-First%20Century:%20Prospects%20for%20Regional%20Integration
02920D4D,Nadeau,Martin,Blais,,,,1,Attitude%20Towards%20Risk-Taking%20and%20Individual%20Choice%20in%20the%20Quebec%20Referendum%20on%20Sovereignty
71441605,Ostberg,Wetstein,,,,,3,Attitudinal%20Decision%20Making%20in%20the%20Supreme%20Court%20of%20Canada
6ECEDE06,Ostberg,Wetstein,,,,,3,Attitudinal%20Decision%20Making%20in%20the%20Supreme%20Court%20of%20Canada
6A1FAD8F,American%20Journal%20of%20International%20Law%20,,,,,,2,Attorney%20General%20of%20Canada%20v.%20Attorney%20General%20of%20Ontario%20(Labour%20%20Conventions)%2C%201937
A586D966,Supreme%20Court%20of%20Canada,,,,,,4,Attorney%20General%20of%20Manitoba%20et%20al.%20v.%20Attorney%20General%20of%20Canada%20et%20al.%20(Patriation%20Reference)%2C%20[1981]%201%20S.C.R.%20753
6B0255D7,Cross,,,,,,2,Auditing%20Canadian%20Democracy
EF134392,Cross,,,,,,2,Auditing%20Canadian%20Democracy
5916B569,Cross,,,,,,2,Auditing%20Canadian%20Democracy
A73C3852,Glyn,,,,,,2,Austerity%2C%20Privatization%20and%20Deregulation
A50697D5,Green,,,,,,1,Autodétermination%2C%20citoyenneté%20et%20fédéralisme%20:%20pour%20une%20relecture%20autochtone%20du%20palimpseste%20canadien
58C6CD44,Kelly,Laforest,,,,,3,Aux%20sources%20dune%20tradition%20politique.%20Les
"travaux%20en%20langue%20française""",,,,,,,,
735D22B6,Gidengil,Nevitte,Blais,Everitt,Fournier,,1,Back%20to%20the%20Future?%20Making%20Sense%20of%20the%202004%20Canadian%20Election%20outside%20Quebec
568E7159,Smith,,,,,,1,Bagehot%2C%20the%20Crown%20and%20the%20Canadian%20Constitution
DBDD7632,Smith,,,,,,3,Bagehot%2C%20the%20Crown%20and%20the%20Canadian%20Constitution
6424D3C7,Green,,,,,,3,Balancing%20Strategies:%20Aboriginal%20Women%20and%20Constitutional%20Rights%20in%20Canada
A504202E,Triadafilopoulos,,,,,,2,Becoming%20Multicultural:%20Immigration%20and%20the%20Politics%20of%20Membership%20in%20Canada%20and%20Germany
D925A2A2,Kymlicka,,,,,,2,Being%20Canadian%2C%20
EE71DFC5,Alfred,Corntassel,,,,,2,Being%20Indigenous:%20Resurgences%20Against%20Contemporary%20Capitalism
101D367F,Alfred,Corntassel,,,,,2,Being%20Indigenous:%20Resurgences%20Against%20Contemporary%20Capitalism
913486F6,Alfred,Corntassel,,,,,2,Being%20Indigenous:%20Resurgences%20Against%20Contemporary%20Capitalism
F6DDC379,Alfred,Corntassel,,,,,2,Being%20Indigenous:%20Resurgences%20Against%20Contemporary%20Capitalism
63A05247,Alfred,Corntassel,,,,,3,Being%20Indigenous:%20Resurgences%20against%20Contemporary%20Colonialism
78781923,Kaplan,,,,,,2,Belonging:%20The%20Meaning%20and%20Future%20of%20Canadian%20Citizenship
CE20693E,Banting,Courchene,Seidle,,,,2,Belonging?%20Diversity%2C%20Recognition%20and%20Shared%20Citizenship%20in%20canada
58AC1CB3,Banting,Courchene,Seidle,,,,2,Belonging?%20Diversity%2C%20Recognition%20and%20Shared%20Citizenship%20in%20Canada
8760C81A,Banting,Courchene,Seidle,,,,2,Belonging?%20Diversity%2C%20Recognition%20and%20Shared%20Citizenship%20in%20Canada
176D2DC9,Malloy,,,,,,2,Between%20America%20and%20Europe:%20Religion%2C%20Politics%20and%20Evangelicals%20in%20Canada
CFE1E43B,Malloy,,,,,,2,Between%20Colliding%20Worlds:%20The%20Ambigous%20Existence%20of%20Government%20Agencies%20for%20Aboriginal%20and%20Womens%20Policy
CCCFBE23,Orsini,Wiebe,,,,,2,Between%20Hope%20and%20Fear:%20Comparing%20the%20Emotional%20Landscapes%20of%20the%20Autism%20Movement%20in%20Canada%20and%20the%20United%20States
A9161B46,Woolford,,,,,,2,Between%20Justice%20and%20Certainty:%20Treaty-Making%20in%20British%20Columbia
A875940C,Palmater,,,,,,3,Beyond%20Blood:%20Rethinking%20Indigenous%20Identity%20
8D0000FD,Wallner,,,,,,1,Beyond%20National%20Standards:%20Reconciling%20Tension%20Between%20Federalism%20and%20the%20Welfare%20State
27012925,Wallner,,,,,,1,Beyond%20National%20Standards:%20Reconciling%20Tension%20Between%20Federalism%20and%20the%20Welfare%20State
E757A5BF,Pal,,,,,,2,Beyond%20Policy%20Analysis:%20Public%20Issue%20Management%20in%20Turbulent%20Times.%203d%20ed.
40826A9E,Gidengil,,,,,,1,Beyond%20the%20Gender%20Gap
0DA96D25,Gibbins,Laforest,,,,,1,Beyond%20the%20Impasse:%20Toward%20Reconciliation
8.41E+07,Gibbins,Laforest,,,,,1,Beyond%20the%20Impasse:%20Toward%20Reconciliation
74C8C405,Gibbins,Laforest,,,,,1,Beyond%20the%20Impasse:%20Toward%20Reconciliation
6ABDA7AE,Flanagan,,,,,,2,Beyond%20the%20Indian%20Act:%20Restoring%20Aboriginal%20Property%20Rights
87382D67,Flanagan,Alcantara,Le%20Dressay,,,,3,Beyond%20the%20Indian%20Act:%20Restoring%20Aboriginal%20Property%20Rights
A840B90E,Flanagan,,,,,,2,Beyond%20the%20Indian%20Act:%20Restoring%20Aboriginal%20Property%20Rights
E32C911D,Kealey,Sangster,,,,,2,Beyond%20the%20Vote:%20Canadian%20Women%20and%20Politics
CC97833E,Tremblay,,,,,,2,Beyong%20Parochialism%20and%20Domestic%20Preoccupation:%20The%20Current%20State%20of%20Comparative%20Politics%20in%20Canada
D7EA5A17,Carty,,,,,,2,Big%20Tent%20Politics:%20The%20Liberal%20Partys%20Long%20Mastery%20of%20Canadas%20Public%20Life
F1B94D0E,Tremblay,,,,,,2,Bilan%20des%20réformes%20électorales%20au%20Canada%20:%20Quelle%20place%20pour%20les%20femmes?
26FF5821,Innis,,,,,,2,Bilingualism%20and%20Biculturalism:%20An%20Abridged%20Version%20of%20The%20Royal%20Commission%20Report
BDB86E19,National%20Assembly%20of%20Quebec,,,,,,1,Bill%2099
32150159,Greene,,,,,,3,Boardrooms%20and%20Barricades:%20Anti-Poverty%20Organizing%20in%20Canada
486A0369,Swinton,,,,,,3,Bora%20Laskin%20and%20Federalism
78F48E55,Doern,Pal,Tomlin,,,,2,Border%20Crossings:%20The%20Internationalization%20of%20Canadian%20Public%20Policy
BE296519,Bouchard,Taylor,,,,,1,Bouchard-Taylor%20Report%20on%20Accomodation%20
DAFBCABB,Marland,,,,,,3,Brand%20Command
6C0216E6,Savoie,,,,,,2,Breaking%20the%20Bargain;%20Public%20Servants%2C%20Ministers%2C%20and%20Parliament%20
F231466A,Savoie,,,,,,2,Breaking%20the%20Bargain;%20Public%20Servants%2C%20Ministers%2C%20and%20Parliament%20
A9D03A25,Savoie,,,,,,2,Breaking%20the%20Bargain;%20Public%20Servants%2C%20Ministers%2C%20and%20Parliament%20
3B0DB320,Savoie,,,,,,2,Breaking%20the%20Bargain;%20Public%20Servants%2C%20Ministers%2C%20and%20Parliament%20
C9CC7F2D,Savoie,,,,,,2,Breaking%20the%20Bargain:%20Public%20Servants%2C%20Ministers%2C%20and%20Parliament
69D3F2DE,Savoie,,,,,,2,Breaking%20the%20Bargain:%20Public%20Servants%2C%20Ministers%2C%20and%20Parliament
BF2AFD0F,Howlett,Pilon,Summerville,,,,2,British%20Columbia%20Politics%20and%20Government
B4591725,Howlett,Pilon,Summerville,,,,2,British%20Columbia%20Politics%20and%20Government
7306C4DC,Krikorian,,,,,,2,British%20Imperial%20Politics%20and%20%20Judicial%20Independence
21ACCCC1,Creighton,,,,,,4,British%20North%20America%20at%20Confederation
52CEF1D3,Bouchard,Taylor,,,,,2,Building%20the%20Future:%20A%20Time%20for%20Reconciliation.%20Final%20report%20of%20the%20Bouchard-Taylor%20Commission
3B4CA15B,Bouchard,Taylor,,,,,2,Building%20the%20Future:%20A%20Time%20for%20Reconciliation.%20Final%20report%20of%20the%20Bouchard-Taylor%20Commission
C8E541EA,Bouchard,Taylor,,,,,2,Building%20the%20Future:%20A%20Time%20for%20Reconciliation.%20Final%20report%20of%20the%20Bouchard-Taylor%20Commission
